Event_ID,事件标题,所属章节,事件类型,是否Boss,触发条件,专属角色,场景与冲突描述,潜在冲突点,预设剧本
evt_ch1_seat,早八占座风波,1,固定池,FALSE,,,早八课。你帮全寝室占了一排座（放了书），结果只有你一个人来了。其他同学站在旁边指指点点，问你“这有人吗”。,集体利益与个人脸面的冲突|室友的拖延症,
evt_ch1_boss_grant,贫困生助学金投票,1,固定池,TRUE,,,期末助学金评定，寝室有一个名额。有人偷偷买了最新款iPhone却还在哭穷申请，而另一个真正困难的室友默默流泪。导员要求寝室内部不记名投票。,道德绑架|利益争夺|查消费记录对峙,
evt_ch2_scholarship,奖学金评定,2,固定池,FALSE,,,大二综合测评。为了零点几的加分，有人开始疯狂包装自己的水水比赛证书，甚至要求你把你做的PPT署她的名。,学术造假|利益侵占,
evt_ch2_boss_intern,寒假实习名额,2,固定池,TRUE,,,系里只有一个去顶尖传媒公司实习的内推名额。你和室友都投了简历，结果你收到了面试通知，而室友落选了。她阴阳怪气地说你“肯定找了关系”。,嫉妒与造谣|竞争压力,
evt_ch3_boss_baoyan,保研名额争夺战,3,固定池,TRUE,,,保研边缘。你和另一个室友分数极其接近。她突然举报你大一时的某次作业涉嫌抄袭，辅导员找你谈话。寝室彻底撕破脸。,背刺与背叛|绝境反击,
evt_ch4_thesis,毕业论文查重,4,固定池,FALSE,,,大四下学期。有人的论文查重率高达80%，她绝望之下求你帮她降重，甚至想直接抄你废弃的初稿。,学术底线与人情,
evt_ch4_boss_job,散伙饭晒Offer,4,固定池,TRUE,,,最后的散伙饭上。有人拿到了大厂Offer年薪30w，有人考公上岸，而有人还没着落。气氛微妙，暗流涌动。这是你们大学四年恩怨的最终清算。,阶层分化|虚荣心与自卑,
evt_ch1_nighttalk,寝室夜谈会,1,固定池,FALSE,,,熄灯后有人提议玩“真心话大冒险”。玩到一半，有人问出了一个致命问题：“你们觉得咱们寝室谁最难相处？”,隐私边界|社交尴尬|潜在矛盾爆发,
evt_ch2_birthday,生日惊喜变惊吓,2,固定池,FALSE,,,室友过生日，大家偷偷准备惊喜派对。结果你无意中说漏嘴，惊喜提前暴露。寿星假装惊喜但明显很尴尬。,好心办坏事|信任危机|集体尴尬,
evt_ch3_graduate,考研还是工作,3,固定池,FALSE,,,大三分岔路口。寝室四人面对未来选择产生严重分歧。有人要考研，有人要工作，有人想gap year。深夜话题变得沉重。,人生规划冲突|价值观撕裂|群体焦虑,
evt_ch4_photo,毕业照C位之争,4,固定池,FALSE,,,拍毕业照时，有人想站在C位，但大家觉得她平时贡献最小。现场气氛尴尬，摄影师等着你们排好。,虚荣心|公平诉求|毕业前的最后冲突,
