Event_ID,事件标题,所属章节,事件类型,是否Boss,触发条件,专属角色,场景与冲突描述,潜在冲突点,叙事标签,状态钩子,关系钩子,开场目标,施压目标,转折目标,收束目标,兜底后果
evt_ch1_aircon,遥控器战争,1,通用随机池,False,,,典型的南北差异。有人开26度喊冷要盖棉被，有人开20度还喊热。遥控器现在在你手里。,怕冷和怕热的室友激烈争吵|有人试图抢夺遥控器,争吵|资源分配|宿舍秩序,主角近期常缓和=>更容易被当成裁判|主角压力高=>更容易被两边逼急,高亲密角色=>更愿意给主角台阶|低亲密角色=>会质疑主角偏心,尽快明确“遥控器在主角手上”带来的压力中心,让不同立场的人把理由说得更具体而不是只复读冷热,推动局势从口头争执升级到要求主角当场做决定,形成暂时规则或新的不满，让冲突留下后续余波,如果大家一直吵不出结果，就引入抢遥控器或有人摔门离场
evt_ch1_alarm,早六的闹钟,1,通用随机池,False,,,室友的闹钟在早上6点准时响起。她迅速起床背单词，但是翻书声和台灯光线严重干扰了其他人的睡眠。,起床气爆发|学习派与享受派的价值观冲突,作息冲突|价值观|积怨,主角近期偏观察=>更容易被卷进两派调停|主角低SAN=>被吵醒后更容易语气失控,高亲密学习派=>会希望主角理解努力的苦衷|高亲密晚睡派=>会期待主角替自己说话,先明确谁被吵醒最不爽 谁最理直气壮,让冲突从噪音问题上升到生活方式和努力观念,逼主角或某人提出一条具体规则而不是继续抱怨,形成新宿舍规则或新的不服气对象,如果大家只会嘴炮 就让闹钟再次响起或有人直接掀被子
evt_ch1_takeout,外卖被偷,1,通用随机池,False,,,一楼的外卖架经常丢东西，今天轮到你们寝室了。有人提议去查监控，有人觉得几十块钱算了别惹事。,维护个人权益与怕麻烦的冲突|怀疑是隔壁寝室干的,委屈|追责|风险取舍,主角口碑高=>别人更愿意听主角判断|主角缺钱=>会更在意损失本身,高亲密角色=>会陪主角一起追查|低亲密角色=>会嫌主角小题大做,先让失主情绪明确爆发并给出诉求,让寝室内部围绕查不查监控出现立场分裂,推进到要不要怀疑具体对象或公开发群消息,形成一次关于边界和出头风险的共识或裂痕,如果局面拖住 就让偷外卖的人再次作案或群里出现线索
evt_ch1_groupwork,小组作业的幽灵,1,通用随机池,False,,,选修课布置了小组作业，要求每组3-4人。你们寝室刚好凑一组。但有个人从头到尾不参与讨论、不干活，最后还想在报告上署名。,,搭便车|署名权|责任分配,主角最近常缓和=>容易被要求出来说句公道话|主角低SAN=>更容易把怨气憋成阴阳怪气,高亲密干活角色=>会拉主角站边|低亲密摸鱼角色=>会反咬主角计较太多,先明确谁在干活 谁在躺平 谁在装无辜,让矛盾从抱怨偷懒推进到是否剥夺署名,逼出一次公开对质或幕后拉票,让小组合作关系出现长期后遗症 比如以后再也不愿组队,如果大家都不挑明 就让老师突然要求现场汇报分工
evt_ch1_visitor,深夜访客,1,通用随机池,False,,,凌晨一点，有人敲门。是室友的异性朋友，说要借住一晚。室友没拒绝，但其他人明早都有早课。,隐私边界|安全顾虑|集体生活的规则冲突,边界|安全感|站队,主角压力高=>更容易把担心说得尖锐|主角近期常缓和=>会先试图找折中方案,高亲密室友=>会私下征求主角意见|低亲密室友=>会觉得主角多管闲事,先让借住请求和其他人的不安同时落地,推动讨论从单纯礼貌问题升级到安全和规则边界,逼出是否留宿以及谁来承担后果的决定,让大家记住谁重视边界 谁只顾自己方便,如果所有人都含糊其辞 就让宿管或邻寝发现动静
evt_ch1_noise,噪音污染,1,通用随机池,False,,,室友半夜开始打游戏，声音很大。你已经睡着了，被吵醒后非常烦躁。,睡眠权|忍耐与反抗的边界,熬夜|边界感|怨气累积,主角压力高=>更容易把一句提醒说得很冲|宿舍已有旧账=>噪音只是借题发挥的入口,高亲密角色=>会愿意压低声音或给主角台阶|低亲密角色=>会觉得主角管太宽,先让被吵醒的不适感和打游戏方的态度都落地,推动对话从提醒音量升级到翻生活习惯旧账,逼出是立规矩还是彻底撕破脸的选择,留下谁尊重边界 谁记仇的清晰印象,如果冲突一直不升级 就让隔壁寝室来敲门投诉
evt_ch1_laundry,洗衣机风波,1,通用随机池,False,,,洗衣机坏了，需要凑钱修。但有人觉得是小题大做，想凑合着用，或者干脆手洗。你觉得必须修好，否则生活会一团糟。,集体利益与个人成本|谁该出钱,公共设施|出钱公平|生活摩擦,主角缺钱=>更容易陷入支持修理但掏不出钱的尴尬|主角高SAN=>更可能推动务实方案,高亲密角色=>愿意和主角一起算账出方案|低亲密角色=>会怀疑主角借机站道德高地,先明确洗衣机坏掉对每个人造成的具体麻烦,让争论从修不修推进到怎么分摊以及谁最该负责,逼出维修方案或拖延后果,形成关于公共支出和责任感的新印象,如果大家一直拖着 就让脏衣服堆积或有人手洗到崩溃
evt_ch1_borrow,借钱风波,1,通用随机池,False,,,室友突然找你借钱，说急用。但她平时大手大脚，而且已经欠了别人钱。你手头也不宽裕。,金钱信任|人情压力|是否该拒绝,借钱|试探|边界,主角缺钱=>拒绝会更有现实压力|主角高SAN=>更可能冷静谈条件,高亲密角色=>会打感情牌|低亲密角色=>拒绝后更容易翻脸,先让借钱理由和主角的犹豫都说清楚,把问题从借不借推进到信不信得过这个人,推动到提出期限 条件 或明确拒绝,形成一次关于金钱边界的长期记忆,如果双方都不愿挑明 就让第三人插话或提起旧账欠款
evt_ch1_fridge,宿舍小冰箱,1,通用随机池,False,,,有人提议凑钱买个小冰箱放寝室。但电费怎么算、谁用得多、坏了谁修，全是潜在雷点。,集体消费矛盾|公平分配问题,共同消费|精打细算|潜在旧账,主角最近常调停=>容易被推去提方案|主角缺钱=>对均摊问题更敏感,高亲密角色=>更愿意接受主角提出的规则|低亲密角色=>会先质疑主角是否偏袒某人,先让每个人对小冰箱的需求差异说出来,推进到费用 使用权和维护责任的具体分歧,逼出一套规则或彻底否决的决定,形成一次关于公平感和占便宜印象的记账,如果大家迟迟定不下 就让有人先买饮料回来没地方放
evt_ch1_cold,感冒传染期,1,通用随机池,False,,,室友重感冒但不戴口罩，也不去看医生。你免疫力差，特别担心被传染。,健康权与面子|自我防护与伤感情,照顾与嫌弃|健康焦虑|边界,主角SAN低=>更容易把担心说成指责|主角近期常缓和=>可能先从关心切入,高亲密角色=>会更容易接受劝说|低亲密角色=>会觉得主角嫌弃自己脏,先让病人状态和主角顾虑都被看见,推进到是否戴口罩 是否去看医生 或是否分开活动,让关心和嫌弃之间的暧昧边界变清楚,形成谁懂得体谅 谁只会嘴硬的印象,如果没人愿意做决定 就让另一位室友也开始咳嗽
