评价者,被评价者,表面态度,内心真实评价
唐梦琪,陆陈安然,正常交流,墙头草，关键时刻靠不住
唐梦琪,李一诺,礼貌敷衍,控制欲强的讨厌鬼，总想主导一切
唐梦琪,陈雨婷,姐妹情深,觉得雨婷人脉广，能一起混精致圈子，但偶尔觉得她太端着。
唐梦琪,苏浅,随手指使,觉得她好欺负，像个透明的免费保姆，经常让她顺手拿外卖。
唐梦琪,赵鑫,保持距离,极度嫌弃她邋遢的打扮和满地的快递盒，觉得她是个屌丝。
唐梦琪,林飒,稍显敬畏,羡慕林飒的家境和酷飒，想去巴结但又有点怕被她毒舌怼。
陈雨婷,陆陈安然,温和关照,觉得安然不会惹事，是个安全的室友，但没啥利用价值。
陈雨婷,李一诺,保持礼貌,毫无利用价值的死脑筋，不想深交，甚至觉得她有点可悲。
陈雨婷,唐梦琪,互关点赞,觉得她是个好骗的恋爱脑，可以利用她来烘托自己的优秀。
陈雨婷,苏浅,施以小惠,偶尔给点小恩小惠让她帮忙做清洁等苦力，觉得她软弱可欺。
陈雨婷,赵鑫,互不干涉,嫌弃她不讲卫生，但知道她不惹事，井水不犯河水。
陈雨婷,林飒,表面客套,知道林飒家里有钱不好惹，心里忌惮，表面极力维持和谐。
李一诺,陆陈安然,认可,有判断力，但不够坚定
李一诺,唐梦琪,严肃督促,不负责任，影响团队进度
李一诺,陈雨婷,表面附和,看不惯雨婷翘课和功利的嘴脸，但忌惮她学生会干部的权力。
李一诺,苏浅,恨铁不成钢,觉得苏浅沉迷二次元是堕落，经常用叹气和眼神给她施压。
李一诺,赵鑫,极其不满,极度厌恶赵鑫打游戏和不搞卫生，认为是大学里的垃圾。
李一诺,林飒,敢怒不敢言,极其讨厌林飒抽烟和昼伏夜出，但被怼过几次后选择默默忍受。
林飒,陆陈安然,偶尔投喂,觉得安然像只安静的小仓鼠，不烦人，心情好时会顺手投喂。
林飒,陈雨婷,经常互怼,早就看穿了她的心机、利用欲和伪善，极度不爽，经常阴阳她。
林飒,李一诺,不屑一顾,觉得李一诺活得太累太死板，像个没见过世面的做题机器。
林飒,唐梦琪,当面嘲笑,觉得她那些“精致穷”和小红书做派很滑稽，毫不留情地戳穿。
林飒,苏浅,护犊子,看不惯别人欺负苏浅，偶尔替她出头，但又恨她性格太软弱包子。
林飒,赵鑫,意外合拍,觉得赵鑫很真实不装B，偶尔甚至会丢给她一包烟或一起开黑。
苏浅,陆陈安然,默默依赖,觉得安然情绪稳定，是宿舍里唯一让她感到安全的避风港。
苏浅,陈雨婷,言听计从,害怕陈雨婷的干部威严，对她的要求不敢说半个“不”字。
苏浅,唐梦琪,唯唯诺诺,怕被她嫌弃衣品，尽量躲着她，为了不惹她生气只能帮忙跑腿。
苏浅,李一诺,极度恐惧,害怕李一诺的各种规矩和每天早上的叹气，总觉得自己在被针对。
苏浅,赵鑫,存在共鸣,知道赵鑫也是二次元，偷偷视奸过她的游戏主页，觉得有共同语言。
苏浅,林飒,敬畏感激,觉得林飒很帅气，感谢她帮自己解围，但又怕她发脾气。
赵鑫,陆陈安然,视为空气,只要安然不拔她网线、不打扰她打游戏，她就觉得安然是个好人。
赵鑫,陈雨婷,敷衍应付,觉得陈雨婷是个虚伪的现充，懒得跟她扯上任何社交关系。
赵鑫,李一诺,烦躁屏蔽,觉得李一诺是个多管闲事的疯婆子，一听到她念叨就戴上耳机。
赵鑫,唐梦琪,背地嫌弃,觉得唐梦琪大半夜连麦吵死了，在心里用最脏的话骂过无数遍。
赵鑫,苏浅,偶尔搭话,觉得她太内向有点麻烦，但聊二次元的时候还不错。
赵鑫,林飒,互称兄弟,觉得林飒大方不做作，吃过她带回来的宵夜，觉得这人能处。
陆陈安然,唐梦琪,安慰,情绪化，容易记仇
陆陈安然,陈雨婷,保持距离,看出了她的八面玲珑，不想成为她向上爬的垫脚石，尽量不留把柄。
陆陈安然,李一诺,尊重,能力强，但太强势
陆陈安然,林飒,暗中欣赏,羡慕林飒那种敢爱敢恨、不在乎别人眼光的洒脱，但自己做不到。
陆陈安然,苏浅,同病相怜,能看懂苏浅的恐惧，有时候会帮她分担一点倒垃圾的活儿。
陆陈安然,赵鑫,和平共处,觉得赵鑫虽然乱，但边界感很强，和她相处最不需要消耗社交能量。
